date,t2m,sp,rh,pwv,tp
2024/05/01 07:15:00,11.675,934.635,55.516,8.832,0.0
2024/05/01 07:30:00,11.675,934.635,55.516,8.832,0.0
2024/05/01 07:45:00,11.675,934.635,55.516,8.832,0.0
2024/05/01 08:00:00,11.675,934.635,55.516,8.832,0.0
2024/05/01 08:15:00,15.008,934.571,43.206,8.504,0.0
2024/05/01 08:30:00,15.008,934.571,43.206,8.504,0.0
2024/05/01 08:45:00,15.008,934.571,43.206,8.504,0.0
2024/05/01 09:00:00,15.008,934.571,43.206,8.504,0.0
2024/05/01 09:15:00,17.535,934.507,35.424,8.383,0.0
2024/05/01 09:30:00,17.535,934.507,35.424,8.383,0.0
2024/05/01 09:45:00,17.535,934.507,35.424,8.383,0.0
2024/05/01 10:00:00,17.535,934.507,35.424,8.383,0.0
2024/05/01 10:15:00,19.361,934.191,28.538,8.381,0.0
2024/05/01 10:30:00,19.361,934.191,28.538,8.381,0.0
2024/05/01 10:45:00,19.361,934.191,28.538,8.381,0.0
2024/05/01 11:00:00,19.361,934.191,28.538,8.381,0.0
2024/05/01 11:15:00,20.513,933.606,24.521,8.052,0.0
2024/05/01 11:30:00,20.513,933.606,24.521,8.052,0.0
2024/05/01 11:45:00,20.513,933.606,24.521,8.052,0.0
2024/05/01 12:00:00,20.513,933.606,24.521,8.052,0.0
2024/05/01 12:15:00,21.254,933.108,22.892,8.712,0.0
2024/05/01 12:30:00,21.254,933.108,22.892,8.712,0.0
2024/05/01 12:45:00,21.254,933.108,22.892,8.712,0.0
2024/05/01 13:00:00,21.254,933.108,22.892,8.712,0.0
2024/05/01 13:15:00,21.644,932.639,21.937,9.407,0.0
2024/05/01 13:30:00,21.644,932.639,21.937,9.407,0.0
2024/05/01 13:45:00,21.644,932.639,21.937,9.407,0.0
2024/05/01 14:00:00,21.644,932.639,21.937,9.407,0.0
2024/05/01 14:15:00,21.655,932.314,24.114,9.852,0.002
2024/05/01 14:30:00,21.655,932.314,24.114,9.852,0.002
2024/05/01 14:45:00,21.655,932.314,24.114,9.852,0.002
2024/05/01 15:00:00,21.655,932.314,24.114,9.852,0.002
