"date","t2m","sp","rh","pwv","tp"
"2025-09-01 00:00:00",26.2,998.0,88.8,"60.3503334559428",0.0
"2025-09-01 00:15:00",26.2,997.9,89.3,"59.35454242992485",0.0
"2025-09-01 00:30:00",26.1,997.7,88.5,"58.55848898529784",0.0
"2025-09-01 00:45:00",26.1,997.6,87.9,"57.48041046630457",0.0
"2025-09-01 01:00:00",26.1,997.6,87.8,"53.675624857928064",0.0
"2025-09-01 01:15:00",26.0,997.6,87.7,"49.19542529904748",0.0
"2025-09-01 01:30:00",26.0,997.4,87.1,"50.15587902298984",0.0
"2025-09-01 01:45:00",26.0,997.2,87.6,"64.58149694584067",0.0
"2025-09-01 02:00:00",25.8,997.1,87.6,"64.84409768481821",0.0
"2025-09-01 02:15:00",25.8,996.9,87.5,"62.516009190636154",0.0
"2025-09-01 02:30:00",25.7,996.7,87.6,"46.50835462654019",0.0
"2025-09-01 02:45:00",25.6,996.6,86.1,"41.20114183770646",0.0
"2025-09-01 03:00:00",25.5,996.7,86.3,"46.013512653174885",0.0
"2025-09-01 03:15:00",25.5,996.7,86.5,"46.09422096599612",0.0
"2025-09-01 03:30:00",25.4,996.7,86.3,"47.06949901724138",0.0
"2025-09-01 03:45:00",25.3,996.9,86.7,"44.44093529257771",0.0
"2025-09-01 04:00:00",25.2,997.0,86.9,"48.36841528693097",0.0
"2025-09-01 04:15:00",25.2,997.0,86.7,"48.1270058644296",0.0
"2025-09-01 04:30:00",25.0,997.0,86.9,"45.45570395484128",0.0
"2025-09-01 04:45:00",24.8,997.1,88.6,"42.656402426763826",0.0
"2025-09-01 05:00:00",24.6,997.1,89.3,"40.1604091323379",0.0
"2025-09-01 05:15:00",24.4,997.2,90.0,"40.18411493033741",0.0
"2025-09-01 05:30:00",24.3,997.2,90.3,"35.19613837386703",0.0
"2025-09-01 05:45:00",24.2,997.3,90.8,"36.859366183138896",0.0
"2025-09-01 06:00:00",24.1,997.4,90.8,"39.23027526816453",0.0
"2025-09-01 06:15:00",24.0,997.5,90.8,"38.97083497003746",0.0
"2025-09-01 06:30:00",24.1,997.8,91.6,"39.30862008407438",0.0
"2025-09-01 06:45:00",24.3,998.1,92.0,"41.14534434863887",0.0
"2025-09-01 07:00:00",24.5,998.3,91.9,"36.2888629461734",0.0
"2025-09-01 07:15:00",25.6,998.4,89.4,"37.59196394619252",0.0
"2025-09-01 07:30:00",26.8,998.3,82.6,"39.873615510827754",0.0
"2025-09-01 07:45:00",27.9,998.4,80.1,"41.40338621687794",0.0
"2025-09-01 08:00:00",28.6,998.3,75.0,"37.779024380970995",0.0
"2025-09-01 08:15:00",29.2,998.6,73.5,"33.33969138603357",0.0
"2025-09-01 08:30:00",30.5,998.7,67.9,"33.38824473930387",0.0
"2025-09-01 08:45:00",31.5,998.7,67.7,"36.5668530413162",0.0
"2025-09-01 09:00:00",32.5,998.8,57.6,"37.26691875550597",0.0
"2025-09-01 09:15:00",32.3,998.8,61.6,"38.11676330003804",0.0
"2025-09-01 09:30:00",32.6,998.8,59.6,"38.14466721258091",0.0
"2025-09-01 09:45:00",31.6,998.8,62.9,"38.67294441228731",0.0
"2025-09-01 10:00:00",31.8,998.7,61.3,"43.24968986698509",0.0
"2025-09-01 10:15:00",32.7,998.7,60.5,"43.38817337549304",0.05
"2025-09-01 10:30:00",33.4,998.7,55.6,"41.39306832900255",0.05
"2025-09-01 10:45:00",33.7,998.7,55.1,"40.61803288052262",0.05
"2025-09-01 11:00:00",33.6,998.6,53.8,"40.95777584285944",0.05
"2025-09-01 11:15:00",34.5,998.6,52.4,"41.42614262810544",0.0
"2025-09-01 11:30:00",33.7,998.4,53.4,"40.740328564011925",0.0
"2025-09-01 11:45:00",34.4,998.2,53.0,"39.85418087517136",0.0
"2025-09-01 12:00:00",34.6,998.0,51.2,"41.34854718597803",0.0
"2025-09-01 12:15:00",34.5,997.8,52.4,"43.19188747954243",0.0
"2025-09-01 12:30:00",35.3,997.7,47.9,"41.168649732963665",0.0
"2025-09-01 12:45:00",34.3,997.4,48.2,"39.53572215219471",0.0
"2025-09-01 13:00:00",34.5,997.2,49.8,"39.82758402661726",0.0
