date,t2m,sp,rh,pwv,tp
2025-05-01 00:00:00,17.3,1005.7,83.3,5.799037851,0.0
2025-05-01 00:15:00,18.8,1005.8,71.1,2.604677161,0.0
2025-05-01 00:30:00,20.9,1005.7,58.6,3.617442939,0.0
2025-05-01 00:45:00,22.2,1005.7,55.2,3.684505784,0.0
2025-05-01 01:00:00,24.8,1005.6,46.4,3.884118915,0.0
2025-05-01 01:15:00,26.6,1005.5,41.2,7.113162603,0.0
2025-05-01 01:30:00,28.5,1005.4,38.2,9.306117631,0.0
2025-05-01 01:45:00,30.0,1005.4,37.3,10.76585785,0.0
2025-05-01 02:00:00,31.2,1005.3,35.6,9.090154668,0.0
2025-05-01 02:15:00,31.6,1005.4,33.9,-81.73918779,0.0
2025-05-01 02:30:00,32.2,1005.3,30.4,-20.83914188,0.0
2025-05-01 02:45:00,32.8,1005.3,27.1,-10.77625426,0.0
2025-05-01 03:00:00,33.5,1005.1,24.8,-10.07872517,0.0
2025-05-01 03:15:00,33.6,1004.9,22.6,-3.579846569,0.0
2025-05-01 03:30:00,33.6,1004.9,20.0,-3.601788317,0.0
2025-05-01 03:45:00,33.3,1004.7,16.2,-4.116356229,0.0
2025-05-01 04:00:00,33.9,1004.3,17.1,3.388217298,0.0
2025-05-01 04:15:00,34.7,1004.3,16.7,9.738720684,0.0
2025-05-01 04:30:00,35.3,1004.0,17.6,13.02392907,0.0
2025-05-01 04:45:00,35.2,1003.8,19.1,11.46345169,0.0
2025-05-01 05:00:00,34.6,1003.7,16.6,14.07071954,0.0
2025-05-01 05:15:00,35.4,1003.4,16.9,18.48880722,0.0
2025-05-01 05:30:00,35.6,1003.4,17.9,19.70914611,0.0
2025-05-01 05:45:00,35.1,1003.0,15.9,20.62968392,0.0
2025-05-01 06:00:00,35.1,1002.6,16.7,18.69804072,0.0
2025-05-01 06:15:00,35.8,1002.4,16.9,16.46026404,0.0
2025-05-01 06:30:00,37.5,1002.2,17.0,14.54043092,0.0
2025-05-01 06:45:00,37.6,1001.9,15.3,16.04019698,0.0
2025-05-01 07:00:00,36.5,1001.5,20.5,16.62850287,0.0
2025-05-01 07:15:00,36.2,1001.3,21.0,16.24138193,0.0
2025-05-01 07:30:00,37.2,1001.1,17.2,16.59678144,0.0
2025-05-01 07:45:00,38.1,1000.9,17.8,18.66692333,0.0
2025-05-01 08:00:00,38.6,1000.8,16.2,22.85290716,0.0
2025-05-01 08:15:00,38.6,1000.5,15.9,20.30125147,0.0
2025-05-01 08:30:00,38.1,1000.3,16.0,18.85018175,0.0
2025-05-01 08:45:00,37.3,1000.1,19.7,16.07882789,0.0
2025-05-01 09:00:00,37.4,1000.0,21.0,34.99470515,0.0
2025-05-01 09:15:00,37.5,1000.1,25.8,10.63453284,0.0
2025-05-01 09:30:00,37.4,1000.1,27.3,5.043994198,0.0
2025-05-01 09:45:00,36.9,1000.1,28.1,7.542375175,0.0
2025-05-01 10:00:00,36.1,1000.1,29.7,7.689491232,0.0
2025-05-01 10:15:00,34.6,1000.1,27.8,7.674649323,0.0
2025-05-01 10:30:00,33.3,1000.2,27.7,11.53691299,0.0
2025-05-01 10:45:00,31.6,1000.2,29.5,17.10474741,0.0
2025-05-01 11:00:00,29.3,1000.3,32.4,23.601709,0.0
2025-05-01 11:15:00,28.1,1000.4,32.9,21.98106109,0.0
2025-05-01 11:30:00,27.6,1000.5,33.7,21.25860604,0.0
2025-05-01 11:45:00,27.0,1000.5,34.3,21.14626902,0.0
2025-05-01 12:00:00,25.9,1000.8,39.1,20.70305752,0.0
2025-05-01 12:15:00,25.1,1000.9,37.2,23.28148924,0.0
2025-05-01 12:30:00,24.7,1001.0,38.5,25.75049018,0.0
2025-05-01 12:45:00,24.5,1001.1,36.5,25.438829,0.0
2025-05-01 13:00:00,25.3,1001.3,33.7,27.52492931,0.0
2025-05-01 13:15:00,25.1,1001.3,43.7,27.69055988,0.0
2025-05-01 13:30:00,26.5,1001.4,37.5,26.76286936,0.0
2025-05-01 13:45:00,25.5,1001.5,41.4,23.37425728,0.0
2025-05-01 14:00:00,27.3,1001.4,40.3,22.66981332,0.0
2025-05-01 14:15:00,27.5,1001.3,41.0,20.4680703,0.0
2025-05-01 14:30:00,27.6,1001.5,41.0,20.87335031,0.0
2025-05-01 14:45:00,27.4,1001.4,41.3,21.48247516,0.0
2025-05-01 15:00:00,27.6,1001.2,40.0,21.27022493,0.0
2025-05-01 15:15:00,27.6,1001.2,39.2,21.00024911,0.0
2025-05-01 15:30:00,27.7,1001.0,37.2,20.31814706,0.0
2025-05-01 15:45:00,27.7,1001.0,37.5,20.51247516,0.0
2025-05-01 16:00:00,27.6,1000.7,38.2,20.64597851,0.0
2025-05-01 16:15:00,27.4,1000.5,37.9,22.0419155,0.0
2025-05-01 16:30:00,27.6,999.9,36.7,23.58016998,0.0
2025-05-01 16:45:00,27.5,999.8,36.9,23.12566374,0.0
2025-05-01 17:00:00,27.3,999.8,37.9,23.12447085,0.0
2025-05-01 17:15:00,27.0,999.8,38.3,21.66284498,0.0
2025-05-01 17:30:00,26.2,999.6,41.7,20.05780631,0.0
2025-05-01 17:45:00,25.2,999.4,44.1,12.9438629,0.0
2025-05-01 18:00:00,24.6,999.2,46.8,6.69364922,0.0
2025-05-01 18:15:00,24.2,999.2,50.4,11.65338811,0.0
2025-05-01 18:30:00,23.4,999.1,52.6,15.73336969,0.0
2025-05-01 18:45:00,23.3,999.1,51.9,15.05972755,0.0
2025-05-01 19:00:00,22.5,998.9,53.3,16.05418144,0.0
2025-05-01 19:15:00,23.2,998.8,50.7,17.74068923,0.0
2025-05-01 19:30:00,23.2,998.7,50.9,20.96397389,0.0
2025-05-01 19:45:00,23.3,998.6,50.0,21.71051289,0.0
2025-05-01 20:00:00,23.5,998.6,49.3,22.10597685,0.0
2025-05-01 20:15:00,23.5,998.6,48.9,21.0687657,0.0
2025-05-01 20:30:00,23.6,998.6,48.7,19.30142979,0.0
2025-05-01 20:45:00,23.0,998.7,57.2,19.43816743,0.0
2025-05-01 21:00:00,22.1,998.7,58.9,21.32780584,0.0
2025-05-01 21:15:00,21.3,998.8,65.2,22.60860409,0.0
2025-05-01 21:30:00,20.2,999.0,67.9,21.14853498,0.0
2025-05-01 21:45:00,19.4,998.9,72.9,20.13813715,0.0
2025-05-01 22:00:00,19.1,999.1,74.4,20.43482457,0.0
2025-05-01 22:15:00,18.8,999.0,75.7,16.71326771,0.0
2025-05-01 22:30:00,18.5,998.9,75.5,16.32520125,0.0
