date,t2m,sp,rh,pwv,tp
2025/7/1 0:00,27.5,998.6,83.9,64.83,0
2025/7/1 0:15,28,998.9,82.2,64.17,0
2025/7/1 0:30,28.6,999,80.7,62.68,0
2025/7/1 0:45,29,999.1,80,62.55,0
2025/7/1 1:00,29.5,999.2,78.5,63.3,0
2025/7/1 1:15,30.5,999.2,78.2,61.14,0
2025/7/1 1:30,31.1,999.37,73.13,19.7,0
2025/7/1 1:45,31.4,999.4,73.2,0,0
2025/7/1 2:00,31.8,999.5,73.6,62.84,0
2025/7/1 2:15,32.4,999.4,70.4,61.85,0
2025/7/1 2:30,33.5,999.4,69.9,58.51,0
2025/7/1 2:45,33.6,999.4,67,57.19,0
2025/7/1 3:00,34,999.4,68.3,61.01,0
2025/7/1 3:15,34.4,999.4,65.2,59.76,0
2025/7/1 3:30,34.3,999.1,65.6,58.55,0
2025/7/1 3:45,34.4,999,67.2,58.29,0
2025/7/1 4:00,34,998.9,68.7,59.81,0
2025/7/1 4:15,34.9,998.7,65.67,59.34,0
2025/7/1 4:30,34.4,998.5,65.7,54.04,0
2025/7/1 4:45,34.5,998.4,64.8,56.52,0
2025/7/1 5:00,33.8,998.3,68.1,59.54,0
2025/7/1 5:15,33.9,998.2,68.2,61.04,0
2025/7/1 5:30,34.2,998.2,68.9,61.59,0
2025/7/1 5:45,34.1,998.1,67.8,62.13,0
2025/7/1 6:00,34.7,997.9,66.2,62.33,0
2025/7/1 6:15,33.4,997.9,74.5,62.42,0
2025/7/1 6:30,31.7,997.8,81.6,59.73,0
2025/7/1 6:45,31.8,997.9,78.6,58.86,0
2025/7/1 7:00,30.6,997.7,83.1,64.47,0
2025/7/1 7:15,29.6,997.8,87.4,64.72,0
2025/7/1 7:30,28.3,997.1,87,65.64,0
2025/7/1 7:45,26.7,998.1,82.8,62.06,0
2025/7/1 8:00,25.3,997.27,90.45,59.82,0
2025/7/1 8:15,25.6,997,93.6,44.36,0.1
2025/7/1 8:30,26.05,996.8,93.48,51.63,0.1
2025/7/1 8:45,26.25,996.8,94.6,51.22,0.1
2025/7/1 9:00,27,996.85,95.22,48.78,0.1
2025/7/1 9:15,26.45,996.68,94.57,54.62,0
2025/7/1 9:30,26.52,997,94.98,60.36,0
2025/7/1 9:45,27.2,996.75,95.35,55.84,0
2025/7/1 10:00,27.7,996.7,95.4,51.71,0
2025/7/1 10:15,28.12,996.7,95.52,49.71,0
2025/7/1 10:30,28.8,996.7,95.78,53.24,0
2025/7/1 10:45,28.93,996.95,94.88,63.62,0
2025/7/1 11:00,28.8,997,92.68,64.72,0
2025/7/1 11:15,28.8,997.1,93.32,65.4,0
2025/7/1 11:30,28.8,997.3,92.95,62.81,0
2025/7/1 11:45,28.7,997.4,92.7,64.65,0
2025/7/1 12:00,28.8,997.45,91.75,66.2,0
2025/7/1 12:15,28.9,997.8,91.38,66.14,0
2025/7/1 12:30,28.7,998.02,91.7,66.99,0
2025/7/1 12:45,28.6,998.18,92.2,68.22,0
2025/7/1 13:00,28.5,998.2,92.45,69.43,0
2025/7/1 13:15,28.5,998.62,92,68,0
2025/7/1 13:30,28.52,998.9,91.02,68.39,0
2025/7/1 13:45,28.47,998.98,90.8,66.98,0
2025/7/1 14:00,28.4,999,90.95,66.11,0
2025/7/1 14:15,28.2,998.92,91.35,64.66,0.35
2025/7/1 14:30,28.2,998.77,90.6,63.69,0.35
2025/7/1 14:45,28.1,998.9,90.22,59.4,0.35
2025/7/1 15:00,28.2,998.9,89.35,52.76,0.35
2025/7/1 15:15,28.3,999.15,88.08,50.39,6.2
2025/7/1 15:30,28.3,999.05,87.62,52.36,6.2
2025/7/1 15:45,28.3,999,87.48,55.8,6.2
2025/7/1 16:00,28.1,999,88.6,56.9,6.2
2025/7/1 16:15,28,998.6,88.85,54.44,1.525
2025/7/1 16:30,28,998.48,88.12,52.74,1.525
2025/7/1 16:45,28.23,998.7,86.82,55.72,1.525
2025/7/1 17:00,28.15,998.7,87.75,60.52,1.525
2025/7/1 17:15,27.8,998.8,89.68,61.02,1.225
2025/7/1 17:30,27.6,998.6,91.1,59.89,1.225
2025/7/1 17:45,27.43,998.3,92.2,59.89,1.225
2025/7/1 18:00,27.43,998.2,93.02,58.15,1.225
2025/7/1 18:15,27.4,998.1,93.62,60.82,0
2025/7/1 18:30,27.3,998,94.1,63.49,0
2025/7/1 18:45,27.2,997.88,94.45,65.2,0
2025/7/1 19:00,27.02,997.82,94.68,62.23,0
2025/7/1 19:15,26.9,997.82,94.9,59.27,0.075
2025/7/1 19:30,26.87,997.8,95.1,59.81,0.075
2025/7/1 19:45,26.8,997.85,95.22,58.09,0.075
2025/7/1 20:00,26.77,998,95.38,57.94,0.075
2025/7/1 20:15,26.7,998,95.38,57.73,0
2025/7/1 20:30,26.6,998.02,95.48,57.84,0
2025/7/1 20:45,26.6,998,95.5,56.82,0
2025/7/1 21:00,26.5,998.1,95.5,55.36,0
2025/7/1 21:15,26.57,998.1,95.4,58.45,0
2025/7/1 21:30,26.6,998.05,94.93,59.64,0
2025/7/1 21:45,26.75,998.18,94.3,60.11,0
2025/7/1 22:00,26.95,998.12,93.1,55.97,0
2025/7/1 22:15,27.1,998.08,92.25,54.83,0
2025/7/1 22:30,27.4,997.95,91.65,54.52,0
2025/7/1 22:45,27.75,998.12,90.75,55.23,0
2025/7/1 23:00,27.9,998.08,89.28,60.69,0
2025/7/1 23:15,28,998.15,88.78,64.03,0
2025/7/1 23:30,28.1,998.35,88.3,63.3,0
2025/7/1 23:45,28.12,998.52,88.32,59.88,0
2025/7/2 0:00,28.67,998.6,87.62,59.16,0
2025/7/2 0:15,29.25,998.55,85.82,54.92,0
2025/7/2 0:30,29.97,998.62,84.57,62.68,0
2025/7/2 0:45,30.1,998.73,82.28,67.12,0
2025/7/2 1:00,30.43,998.85,81,65.65,0
2025/7/2 1:15,30.65,998.88,81.28,57.33,0
2025/7/2 1:30,30.77,998.82,79.88,50.6,0
2025/7/2 1:45,30.9,998.9,79.22,48.37,0
2025/7/2 2:00,31.4,998.95,78.25,51.43,0
2025/7/2 2:15,31.8,999,77.5,51.19,0.225
2025/7/2 2:30,32.97,999.08,74.92,50.02,0.225
2025/7/2 2:45,33.1,998.98,72.45,47.88,0.225
2025/7/2 3:00,33.07,999.02,72.2,46.62,0.225
2025/7/2 3:15,33.25,999.12,72.68,46.65,0.075
2025/7/2 3:30,33.6,999.05,70.88,47.15,0.075
2025/7/2 3:45,33.77,998.9,70.4,47.91,0.075
2025/7/2 4:00,33.82,998.8,71.25,46.38,0.075
2025/7/2 4:15,34.02,998.75,70,45.53,0
2025/7/2 4:30,34.15,998.7,70.35,45.88,0
2025/7/2 4:45,34.25,998.52,67.85,44.31,0
2025/7/2 5:00,34.2,998.4,68.08,46.6,0
2025/7/2 5:15,34.5,998.3,69.88,45.12,0
2025/7/2 5:30,34.57,998.2,66.08,47.21,0
2025/7/2 5:45,34.4,998.15,68.2,50.39,0
2025/7/2 6:00,34.7,998,66.58,52.75,0
2025/7/2 6:15,34.7,997.85,65.73,58.83,0
2025/7/2 6:30,34.5,997.78,66.85,62.14,0
2025/7/2 6:45,34.37,997.62,66.18,49.72,0
2025/7/2 7:00,34.3,997.27,67.15,37.37,0
2025/7/2 7:15,34.7,997.28,67.08,42.41,0
2025/7/2 7:30,34.67,997.07,64.83,37.52,0
2025/7/2 7:45,34.73,997.08,65.47,44.95,0
2025/7/2 8:00,34.6,996.9,64.82,56.04,0
2025/7/2 8:15,34.6,996.7,65.55,57.8,0
2025/7/2 8:30,34.6,996.62,65.02,52.37,0
2025/7/2 8:45,34.45,996.62,65.15,49.22,0
2025/7/2 9:00,34.3,996.52,64.9,47.9,0
2025/7/2 9:15,34.1,996.32,67.05,40.13,0
2025/7/2 9:30,34,996.3,66.45,34.5,0
2025/7/2 9:45,33.7,996.2,67.18,24.89,0
2025/7/2 10:00,33.5,996.32,67.82,18.51,0
2025/7/2 10:15,33.3,996.42,68.78,24.02,0
2025/7/2 10:30,33,996.55,69.08,29.51,0
2025/7/2 10:45,32.7,996.72,69.62,48.2,0
2025/7/2 11:00,32.4,996.68,70.7,53.22,0
