sid,lon,lat,datetime,wind_speed,wind_direction,temperature,humidity,pressure,rain1h
59052,110.817,24.833,2025-12-22 06:00:00+00:00,1.6,306.0,14.4,67.0,998.0,0.0
59052,110.817,24.833,2025-12-22 05:00:00+00:00,1.4,48.0,13.8,68.0,999.0,0.0
59052,110.817,24.833,2025-12-22 04:00:00+00:00,1.7,68.0,13.4,69.0,1000.0,0.0
59052,110.817,24.833,2025-12-22 03:00:00+00:00,1.3,108.0,13.2,70.0,1002.0,0.0
59052,110.817,24.833,2025-12-22 02:00:00+00:00,1.9,60.0,12.9,71.0,1002.0,0.0
59052,110.817,24.833,2025-12-22 01:00:00+00:00,2.8,34.0,12.6,71.0,1002.0,0.0
59052,110.817,24.833,2025-12-22 00:00:00+00:00,2.1,40.0,12.3,74.0,1001.0,0.0
59052,110.817,24.833,2025-12-21 23:00:00+00:00,1.1,85.0,12.2,76.0,1001.0,0.0
59052,110.817,24.833,2025-12-21 22:00:00+00:00,1.7,91.0,12.3,69.0,1001.0,0.0
59052,110.817,24.833,2025-12-21 21:00:00+00:00,1.7,3.0,12.4,67.0,1000.0,0.0
59052,110.817,24.833,2025-12-21 20:00:00+00:00,2.2,20.0,12.5,66.0,1001.0,0.0
59052,110.817,24.833,2025-12-21 19:00:00+00:00,1.9,11.0,12.5,65.0,1001.0,0.0
59052,110.817,24.833,2025-12-21 18:00:00+00:00,1.4,43.0,12.8,62.0,1002.0,0.0
59052,110.817,24.833,2025-12-21 17:00:00+00:00,2.9,26.0,12.6,61.0,1002.0,0.0
59052,110.817,24.833,2025-12-21 16:00:00+00:00,2.8,351.0,12.9,60.0,1002.0,0.0
59052,110.817,24.833,2025-12-21 15:00:00+00:00,1.1,43.0,13.2,59.0,1002.0,0.0
59052,110.817,24.833,2025-12-21 14:00:00+00:00,4.7,14.0,13.5,58.0,1002.0,0.0
59052,110.817,24.833,2025-12-21 13:00:00+00:00,4.4,43.0,14.0,58.0,1001.0,0.0
59052,110.817,24.833,2025-12-21 12:00:00+00:00,4.2,26.0,14.7,56.0,1001.0,0.0
59052,110.817,24.833,2025-12-21 11:00:00+00:00,1.8,349.0,15.7,54.0,1000.0,0.0
59052,110.817,24.833,2025-12-21 10:00:00+00:00,3.8,349.0,16.7,53.0,1000.0,0.0
59052,110.817,24.833,2025-12-21 09:00:00+00:00,3.1,340.0,18.4,49.0,999.0,0.0
59052,110.817,24.833,2025-12-21 08:00:00+00:00,2.5,26.0,18.8,47.0,999.0,0.0
59052,110.817,24.833,2025-12-21 07:00:00+00:00,2.5,349.0,19.6,44.0,1000.0,0.0
59058,110.517,24.2,2025-12-22 06:00:00+00:00,1.3,169.0,15.2,69.0,996.0,0.0
59058,110.517,24.2,2025-12-22 05:00:00+00:00,0.3,225.0,14.7,69.0,998.0,0.0
59058,110.517,24.2,2025-12-22 04:00:00+00:00,0.0,9999.0,14.2,69.0,999.0,0.0
59058,110.517,24.2,2025-12-22 03:00:00+00:00,1.7,326.0,13.8,70.0,1000.0,0.0
59058,110.517,24.2,2025-12-22 02:00:00+00:00,0.8,295.0,13.6,70.0,1000.0,0.0
59058,110.517,24.2,2025-12-22 01:00:00+00:00,0.8,110.0,13.4,68.0,1000.0,0.0
59058,110.517,24.2,2025-12-22 00:00:00+00:00,2.5,11.0,13.3,67.0,1000.0,0.0
59058,110.517,24.2,2025-12-21 23:00:00+00:00,2.4,346.0,13.3,66.0,999.0,0.0
59058,110.517,24.2,2025-12-21 22:00:00+00:00,3.5,346.0,13.3,65.0,999.0,0.0
59058,110.517,24.2,2025-12-21 21:00:00+00:00,4.1,338.0,13.3,65.0,999.0,0.0
59058,110.517,24.2,2025-12-21 20:00:00+00:00,3.9,326.0,13.5,64.0,999.0,0.0
59058,110.517,24.2,2025-12-21 19:00:00+00:00,4.9,340.0,13.8,63.0,999.0,0.0
59058,110.517,24.2,2025-12-21 18:00:00+00:00,4.1,14.0,14.1,64.0,999.0,0.0
59058,110.517,24.2,2025-12-21 17:00:00+00:00,2.1,3.0,13.8,71.0,999.0,0.2
59058,110.517,24.2,2025-12-21 16:00:00+00:00,2.7,6.0,15.0,60.0,999.0,0.0
59058,110.517,24.2,2025-12-21 15:00:00+00:00,3.5,349.0,14.7,64.0,1000.0,0.0
59058,110.517,24.2,2025-12-21 14:00:00+00:00,2.1,3.0,14.6,62.0,999.0,0.0
59058,110.517,24.2,2025-12-21 13:00:00+00:00,3.7,360.0,15.2,60.0,999.0,0.0
59058,110.517,24.2,2025-12-21 12:00:00+00:00,5.7,332.0,16.2,55.0,999.0,0.0
59058,110.517,24.2,2025-12-21 11:00:00+00:00,4.8,326.0,16.9,54.0,998.0,0.0
59058,110.517,24.2,2025-12-21 10:00:00+00:00,5.4,352.0,18.0,52.0,998.0,0.0
